Месяц;Стратегия;Дата;Кампания;Показы;Клики;Расход(руб.);Лиды_deti;Лиды_parkour;Звонок;Лиды_vozdushnya-gimnastika_
январь;Ручная;01.01.2023;[Поиск] Паркур. Москва;49;5;238.13;0;0;0;0
январь;Ручная;01.01.2023;[Поиск] Воздушная гимнастика. Москва;45;2;47.98;0;0;0;0
январь;Ручная;01.01.2023;[Поиск] Спортивная гимнастика. Москва;77;3;116.64;0;0;0;0
январь;Ручная;01.01.2023;[Поиск] Цирковое искусство. Москва;54;2;64.91;0;0;0;0
январь;Ручная;01.01.2023;[Поиск] Акробатика. Москва;134;8;288.23;0;0;0;0
январь;Ручная;01.01.2023;[Поиск] Гимнастика для малышей. Москва;139;8;427.1;0;0;0;0
январь;Автоматическая;01.01.2023;[РСЯ] vozdushnya-gimnastika;1187;7;95.52;0;0;0;0
январь;Автоматическая;01.01.2023;01.12 [РСЯ] deti CPA 1170;2684;17;1320;1;0;0;0
январь;Автоматическая;01.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;68;1;0;0;0;0;0
январь;Автоматическая;01.01.2023;01.12 [РСЯ] parkour. CPA 1000;115;1;0;0;0;0;0
январь;Ручная;02.01.2023;[Поиск] Паркур. Москва;53;5;147.2;0;0;0;0
январь;Ручная;02.01.2023;[Поиск] Воздушная гимнастика. Москва;39;5;196.58;0;0;0;0
январь;Ручная;02.01.2023;[Поиск] Спортивная гимнастика. Москва;92;0;0;0;0;0;0
январь;Ручная;02.01.2023;[Поиск] Цирковое искусство. Москва;74;2;23.27;0;0;0;0
январь;Ручная;02.01.2023;[Поиск] Акробатика. Москва;181;14;581.6;0;0;0;0
январь;Ручная;02.01.2023;[Поиск] Гимнастика для малышей. Москва;88;4;290.53;0;0;0;0
январь;Автоматическая;02.01.2023;[РСЯ] vozdushnya-gimnastika;2214;11;129.85;0;0;0;0
январь;Автоматическая;02.01.2023;01.12 [РСЯ] deti CPA 1170;2231;19;2640;2;0;0;0
январь;Автоматическая;02.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;935;9;0;0;0;0;0
январь;Автоматическая;02.01.2023;01.12 [РСЯ] parkour. CPA 1000;1298;6;1200;0;1;0;0
январь;Ручная;03.01.2023;[Поиск] Паркур. Москва;48;3;176.87;0;0;0;0
январь;Ручная;03.01.2023;[Поиск] Воздушная гимнастика. Москва;47;3;106.09;0;0;0;0
январь;Ручная;03.01.2023;[Поиск] Спортивная гимнастика. Москва;117;5;192.12;0;0;0;0
январь;Ручная;03.01.2023;[Поиск] Цирковое искусство. Москва;76;4;107.67;0;0;0;0
январь;Ручная;03.01.2023;[Поиск] Акробатика. Москва;181;8;384.64;0;0;0;0
январь;Ручная;03.01.2023;[Поиск] Гимнастика для малышей. Москва;93;5;372.25;0;0;0;0
январь;Автоматическая;03.01.2023;[РСЯ] vozdushnya-gimnastika;6090;53;763.21;0;0;0;2
январь;Автоматическая;03.01.2023;01.12 [РСЯ] deti CPA 1170;5645;37;6600;5;0;0;0
январь;Автоматическая;03.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;3870;34;0;0;0;0;0
январь;Автоматическая;03.01.2023;01.12 [РСЯ] parkour. CPA 1000;5678;39;1200;0;1;0;0
январь;Ручная;04.01.2023;[Поиск] Паркур. Москва;53;3;171.9;0;0;0;0
январь;Ручная;04.01.2023;[Поиск] Воздушная гимнастика. Москва;51;5;85.91;0;0;0;0
январь;Ручная;04.01.2023;[Поиск] Спортивная гимнастика. Москва;137;3;142.07;0;0;0;0
январь;Ручная;04.01.2023;[Поиск] Цирковое искусство. Москва;50;3;113.14;0;0;0;0
январь;Ручная;04.01.2023;[Поиск] Акробатика. Москва;172;12;454.08;0;0;2;0
январь;Ручная;04.01.2023;[Поиск] Гимнастика для малышей. Москва;84;4;325.14;0;0;0;0
январь;Автоматическая;04.01.2023;[РСЯ] vozdushnya-gimnastika;12918;72;761.67;0;0;0;1
январь;Автоматическая;04.01.2023;01.12 [РСЯ] deti CPA 1170;15350;88;5280;4;0;0;0
январь;Автоматическая;04.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;863;11;0;0;0;0;0
январь;Автоматическая;04.01.2023;01.12 [РСЯ] parkour. CPA 1000;1211;8;1200;0;1;0;0
январь;Ручная;05.01.2023;[Поиск] Паркур. Москва;83;13;552.09;0;0;0;0
январь;Ручная;05.01.2023;[Поиск] Воздушная гимнастика. Москва;76;2;43.67;0;0;0;0
январь;Ручная;05.01.2023;[Поиск] Спортивная гимнастика. Москва;206;12;615.76;0;0;0;0
январь;Ручная;05.01.2023;[Поиск] Цирковое искусство. Москва;56;6;202.79;0;0;0;0
январь;Ручная;05.01.2023;[Поиск] Акробатика. Москва;212;18;889.82;0;0;0;0
январь;Ручная;05.01.2023;[Поиск] Гимнастика для малышей. Москва;83;5;385.46;0;0;0;0
январь;Автоматическая;05.01.2023;[РСЯ] vozdushnya-gimnastika;23608;124;1916.87;0;0;0;2
январь;Автоматическая;05.01.2023;01.12 [РСЯ] deti CPA 1170;36344;161;10560;8;0;0;0
январь;Автоматическая;05.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;89;0;0;0;0;0;0
январь;Автоматическая;05.01.2023;01.12 [РСЯ] parkour. CPA 1000;3284;19;0;0;0;0;0
январь;Ручная;06.01.2023;[Поиск] Паркур. Москва;89;7;392.88;0;0;0;0
январь;Ручная;06.01.2023;[Поиск] Воздушная гимнастика. Москва;59;4;145.94;0;0;0;0
январь;Ручная;06.01.2023;[Поиск] Спортивная гимнастика. Москва;176;7;233.68;0;0;0;0
январь;Ручная;06.01.2023;[Поиск] Цирковое искусство. Москва;48;3;71.3;0;0;0;0
январь;Ручная;06.01.2023;[Поиск] Акробатика. Москва;179;9;370.54;0;0;0;0
январь;Ручная;06.01.2023;[Поиск] Гимнастика для малышей. Москва;41;5;382.43;0;0;0;0
январь;Автоматическая;06.01.2023;[РСЯ] vozdushnya-gimnastika;861;7;78.92;0;0;0;0
январь;Автоматическая;06.01.2023;01.12 [РСЯ] deti CPA 1170;33972;168;11880;9;0;0;0
январь;Автоматическая;06.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;3553;31;0;0;0;0;0
январь;Автоматическая;06.01.2023;01.12 [РСЯ] parkour. CPA 1000;1254;9;2400;0;2;0;0
январь;Ручная;07.01.2023;[Поиск] Паркур. Москва;82;6;174.28;0;0;0;0
январь;Ручная;07.01.2023;[Поиск] Воздушная гимнастика. Москва;77;2;43.97;0;0;0;0
январь;Ручная;07.01.2023;[Поиск] Спортивная гимнастика. Москва;160;5;315.35;0;0;0;0
январь;Ручная;07.01.2023;[Поиск] Цирковое искусство. Москва;41;4;115.97;0;0;0;0
январь;Ручная;07.01.2023;[Поиск] Акробатика. Москва;208;4;209.82;0;0;0;0
январь;Ручная;07.01.2023;[Поиск] Гимнастика для малышей. Москва;155;6;315.31;0;0;0;0
январь;Автоматическая;07.01.2023;[РСЯ] vozdushnya-gimnastika;3547;35;684.3;0;0;0;0
январь;Автоматическая;07.01.2023;01.12 [РСЯ] deti CPA 1170;61285;250;10072.65;8;0;0;0
январь;Автоматическая;07.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;2190;31;0;0;0;0;0
январь;Автоматическая;07.01.2023;01.12 [РСЯ] parkour. CPA 1000;3870;28;0;0;0;0;0
январь;Ручная;08.01.2023;[Поиск] Паркур. Москва;123;10;342.63;0;0;0;0
январь;Ручная;08.01.2023;[Поиск] Воздушная гимнастика. Москва;59;3;63.38;0;0;0;0
январь;Ручная;08.01.2023;[Поиск] Спортивная гимнастика. Москва;267;13;767.57;0;0;0;0
январь;Ручная;08.01.2023;[Поиск] Цирковое искусство. Москва;33;1;16.27;0;0;0;0
январь;Ручная;08.01.2023;[Поиск] Акробатика. Москва;266;18;749.58;0;0;0;0
январь;Ручная;08.01.2023;[Поиск] Гимнастика для малышей. Москва;190;9;353.39;0;0;0;0
январь;Автоматическая;08.01.2023;[РСЯ] vozdushnya-gimnastika;638;9;151.25;0;0;0;0
январь;Автоматическая;08.01.2023;01.12 [РСЯ] deti CPA 1170;97210;367;6967.35;16;0;0;0
январь;Автоматическая;08.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;1613;23;0;0;0;0;0
январь;Автоматическая;08.01.2023;01.12 [РСЯ] parkour. CPA 1000;1369;10;1200;0;1;0;0
январь;Ручная;09.01.2023;[Поиск] Паркур. Москва;88;7;283.34;0;0;0;0
январь;Ручная;09.01.2023;[Поиск] Воздушная гимнастика. Москва;68;4;121.25;0;0;1;0
январь;Ручная;09.01.2023;[Поиск] Спортивная гимнастика. Москва;350;11;462.5;0;0;0;0
январь;Ручная;09.01.2023;[Поиск] Цирковое искусство. Москва;39;3;81.12;0;0;0;0
январь;Ручная;09.01.2023;[Поиск] Акробатика. Москва;262;24;1227.51;0;0;1;0
январь;Ручная;09.01.2023;[Поиск] Гимнастика для малышей. Москва;138;7;340.06;0;0;0;0
январь;Автоматическая;09.01.2023;[РСЯ] vozdushnya-gimnastika;1450;10;131.09;0;0;0;0
январь;Автоматическая;09.01.2023;01.12 [РСЯ] deti CPA 1170;38656;156;6600;5;0;0;0
январь;Автоматическая;09.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;315;2;0;0;0;0;0
январь;Автоматическая;09.01.2023;01.12 [РСЯ] parkour. CPA 1000;1056;11;0;0;0;0;0
январь;Автоматическая;09.01.2023;09.01 [Мастер кампаний] deti;2066;6;0;0;0;0;0
январь;Ручная;10.01.2023;[Поиск] Паркур. Москва;114;11;165.64;0;0;0;0
январь;Ручная;10.01.2023;[Поиск] Воздушная гимнастика. Москва;70;4;98.06;0;0;0;0
январь;Ручная;10.01.2023;[Поиск] Спортивная гимнастика. Москва;264;13;671.53;0;0;1;0
январь;Ручная;10.01.2023;[Поиск] Цирковое искусство. Москва;58;2;48.74;0;0;0;0
январь;Ручная;10.01.2023;[Поиск] Акробатика. Москва;385;12;343.36;0;0;0;0
январь;Ручная;10.01.2023;[Поиск] Гимнастика для малышей. Москва;91;7;399.26;0;0;0;0
январь;Автоматическая;10.01.2023;[РСЯ] vozdushnya-gimnastika;2444;23;338.31;0;0;0;0
январь;Автоматическая;10.01.2023;01.12 [РСЯ] deti CPA 1170;74178;233;11880;9;0;2;0
январь;Автоматическая;10.01.2023;01.12 [РСЯ] vzroslye. CPA 1000;184;1;0;0;0;0;0
январь;Автоматическая;10.01.2023;01.12 [РСЯ] parkour. CPA 1000;135;2;0;0;0;0;0
январь;Автоматическая;10.01.2023;09.01 [Мастер кампаний] deti;16122;41;1920;2;0;0;0
январь;Автоматическая;10.01.2023;09.01.23 ДРР [РСЯ] Общая;4053;23;0;0;0;0;0
январь;Ручная;11.01.2023;[Поиск] Паркур. Москва;106;10;209.73;0;0;0;0
январь;Ручная;11.01.2023;[Поиск] Воздушная гимнастика. Москва;85;5;218.02;0;0;1;0
